Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPoints
33,50042820,Jaren Hall,BYU,QB,2,UTAH,18,30,60,149,5,3,0,106.11,8,92,11.5,0,27.16
34,50010765,Terry Wilson,NMX,QB,2,NMXST,26,37,70.3,382,10.3,3,0,130.69,7,-2,-0.3,0,27.08
35,50036259,Gunnar Holmberg,DUKE,QB,2,NCAT,20,27,74.1,270,10,0,0,105.48,5,30,6,2,25.8
35,50033047,Sean Clifford,PENNST,QB,2,BALLST,21,29,72.4,230,7.9,1,0,106.97,11,66,6,1,25.8
37,50046582,Jayden Daniels,ARZST,QB,2,UNLV,20,29,69,175,6,2,1,93.32,13,125,9.6,0,25.5
38,50046249,Grayson McCall,COAST,QB,2,KAN,17,21,81,245,11.7,2,0,147.02,8,16,2,1,25.4
39,50046220,Jordan Yates,GTECH,QB,2,KENEST,17,23,73.9,254,11,4,0,149.28,7,-8,-1.1,0,25.36
40,50036522,Jack Plummer,PUR,QB,2,UCONN,16,20,80,245,12.2,4,0,157.29,2,-7,-3.5,0,25.1
41,50027893,Chase Garbers,CAH,QB,2,TCU,16,27,59.3,309,11.4,2,0,123.84,7,43,6.1,0,24.66
42,50028644,Dustin Crum,KENTST,QB,2,VAMIL,12,17,70.6,180,10.6,1,0,124.63,8,70,8.8,1,24.2
43,50054298,Garrett Greene,WVIR,QB,2,LIUB,4,7,57.1,57,8.1,0,0,83.63,14,98,7,2,24.08
44,50053173,Tanner McKee,STAN,QB,2,USC,16,23,69.6,234,10.2,2,0,131.43,4,7,1.8,1,24.06
45,50002921,Anthony Brown,ORE,QB,2,OHIOST,17,35,48.6,236,6.7,2,0,89.7,10,65,6.5,0,23.94
46,50036873,Chance Nolan,OREGST,QB,2,HAWAII,21,29,72.4,302,10.4,2,0,128.81,7,38,5.4,0,23.88
47,50048480,Taulia Tagovailoa,MARY,QB,2,HOWRD,22,27,81.5,274,10.1,3,0,145.99,4,8,2,0,23.76
47,50037170,Sean Chambers,WYOM,QB,2,NILL,13,23,56.5,204,8.9,2,0,115.13,8,16,2,1,23.76
