Rank,PlayerID,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPoints
532,50062632,Alton McCaskill,HOU,RB,1,TXTECH,4,5,1.2,0,1,0,0,0,0,0.5
532,50057824,Ron Wiggins,JAXST,RB,1,UAB,4,1,0.2,0,1,4,0,0,0,0.5
532,50004233,Bradrick Shaw,NIOWA,RB,1,IOWAST,2,5,2.5,0,0,0,0,0,0,0.5
532,50046697,Deryl Reynolds,TCU,RB,1,DUQ,3,5,1.7,0,0,0,0,0,0,0.5
532,50027218,Larry Wooden,UAB,RB,1,JAXST,2,5,2.5,0,0,0,0,0,0,0.5
532,50026470,Robert Burns,UCONN,RB,1,FREST,3,5,1.7,0,0,0,0,0,0,0.5
532,50054043,Brian Brewton,UCONN,RB,1,FREST,1,4,4,0,1,1,0,0,0,0.5
532,50054123,Ahmani Marshall,WAKE,RB,1,OLD,4,5,1.2,0,0,0,0,0,0,0.5
545,50059660,Kendi Young,EILL,RB,1,SC,4,4,1,0,0,0,0,0,0,0.4
545,50046331,Cam Wiley,MINNST,RB,1,OHIOST,3,4,1.3,0,0,0,0,0,0,0.4
545,50062105,Jamir Barnes,MONM,RB,1,MTNST,4,4,1,0,0,0,0,0,0,0.4
545,50036345,Trent Pennix,NCST,RB,1,SFL,0,0,0,0,1,4,0,0,0,0.4
545,50048345,Keshawn Wicks,OLD,RB,1,WAKE,1,4,4,0,0,0,0,0,0,0.4
545,50060394,Dylan Downing,PUR,RB,1,OREGST,1,6,6,0,1,-2,0,0,0,0.4
545,50057860,Bradley Dunn,SC,RB,1,EILL,2,4,2,0,0,0,0,0,0,0.4
545,50066929,Amar Johnson,SDKST,RB,1,COLST,3,4,1.3,0,0,0,0,0,0,0.4
545,50045669,Travis Tisdale,UK,RB,1,LAMON,1,4,4,0,0,0,0,0,0,0.4
545,50056408,Willie Eldridge,UTEP,RB,1,NMXST,4,4,1,0,0,0,0,0,0,0.4
555,50041364,Cameron Myers,CARK,RB,1,ARKST,3,3,1,0,0,0,0,0,0,0.3
555,50043915,Sam Llewellyn,CITA,RB,1,COAST,1,3,3,0,0,0,0,0,0,0.3
555,50043878,DJ Twitty,ETNST,RB,1,VAND,1,3,3,0,0,0,0,0,0,0.3
555,50048153,James Phillips,HAWAII,RB,1,UCLA,1,-6,-6,0,2,9,0,0,0,0.3
555,50055223,Gavin Williams,IOWA,RB,1,IND,1,3,3,0,0,0,0,0,0,0.3
555,50064826,Jon-Luke Peaker,OLD,RB,1,WAKE,1,3,3,0,0,0,0,0,0,0.3
555,50048731,Thomas Duckett,SUTAH,RB,1,SJST,0,0,0,0,1,3,0,0,0,0.3
555,50061207,Jordan Jefferson,SUTAH,RB,1,SJST,2,3,1.5,0,0,0,0,0,0,0.3
555,50045973,Tayvon Ruley,TEMPL,RB,1,RUTGER,2,3,1.5,0,0,0,0,0,0,0.3
555,50009742,Jaxson Kincaide,WMICH,RB,1,MICH,1,3,3,0,2,0,0,0,0,0.3
565,50059241,Justice Jackson,EWASH,RB,1,UNLV,3,2,0.7,0,0,0,0,0,0,0.2
565,50048384,Larry McCammon III,FLATL,RB,1,FL,1,2,2,0,0,0,0,0,0,0.2
565,50054864,Malik Sherrod,FREST,RB,1,UCONN,3,2,0.7,0,0,0,0,0,0,0.2
565,50046384,Joe Ervin,KANST,RB,1,STAN,5,2,0.4,0,0,0,0,0,0,0.2
565,50063276,Caleb Hood,NCAR,RB,1,VTECH,1,2,2,0,0,0,0,0,0,0.2
565,50046297,Cooper Jewett,NEBR,RB,1,FORDM,1,2,2,0,0,0,0,0,0,0.2
565,50048482,Chad Alexander,NMX,RB,1,HOUBAP,1,2,2,0,0,0,0,0,0,0.2
565,50046202,Keshawn King,VTECH,RB,1,NCAR,3,2,0.7,0,0,0,0,1,1,0.2
565,50061272,Chris Collier,WAG,RB,1,BUF,3,2,0.7,0,1,0,0,0,0,0.2
574,50063644,Jaison Patterson,BOWLGR,RB,1,TENN,1,1,1,0,0,0,0,0,0,0.1
574,50054937,Marcus Carroll,GAST,RB,1,ARMY,3,1,0.3,0,0,0,0,0,0,0.1
574,50048133,Davion Ervin-Poindexter,IND,RB,1,IOWA,2,1,0.5,0,0,0,0,0,0,0.1
574,50063443,Devin Neal,KAN,RB,1,SDAK,1,1,1,0,0,0,0,0,0,0.1
574,50048334,Knowledge McDaniel,MARSH,RB,1,NAVY,1,1,1,0,0,0,0,0,0,0.1
574,50069252,Junior Bergen,MONT,RB,1,WASH,2,1,0.5,0,0,0,0,0,0,0.1
574,50038419,Deshaun Fenwick,OREGST,RB,1,PUR,1,1,1,0,0,0,0,0,0,0.1
574,50048252,Devyn Ford,PENNST,RB,1,WISC,1,1,1,0,0,0,0,0,0,0.1
574,50054705,Trey Blair,TEMPL,RB,1,RUTGER,2,-4,-2,0,1,5,0,0,0,0.1
574,50045799,A.J. Gates,UAB,RB,1,JAXST,2,1,0.5,0,0,0,0,0,0,0.1
574,50026470,Robert Burns,UCONN,RB,1,HOLY,2,1,0.5,0,0,0,0,0,0,0.1
585,50048944,Jimmie Robinson III,BCOOK,RB,1,UTEP,0,0,0,0,0,0,0,0,0,0
585,50052834,PaSean Wimberly,BOWLGR,RB,1,TENN,0,0,0,0,0,0,0,0,0,0
585,50039109,DeAnte Jackson,CAMP,RB,1,LIBRTY,0,0,0,0,0,0,0,0,0,0
585,50055498,Jayle Stacks,COL,RB,1,NCOL,0,0,0,0,0,0,0,0,0,0
585,50062646,G'Mone Wilson,ECAR,RB,1,APPLST,0,0,0,0,0,0,0,0,0,0
585,50054092,Corey Wren,FLST,RB,1,ND,0,0,0,0,0,0,0,0,0,0
585,50063077,Jaquan Dixon,GAST,RB,1,ARMY,0,0,0,0,0,0,0,0,0,0
585,50058883,Dior Scott,HAWAII,RB,1,PORTST,0,0,0,0,0,0,0,0,0,0
585,50064791,Jordan Johnson,HAWAII,RB,1,PORTST,0,0,0,0,0,0,0,0,0,0
