Rank,PlayerID,Name,Team,Position,Week,Opponent,Receptions,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPoints
145,50042946,Cole Cavallo,SOUMIS,TE,1,SALA,1,9,0,9,9,2,1,0.5,0,0,0,1
145,50025971,Jay Rose,UCONN,TE,1,HOLY,1,10,0,10,10,0,0,0,0,0,0,1
145,50062048,Logan Snyder,WEBST,TE,1,UTAH,1,10,0,10,10,0,0,0,0,0,0,1
152,50058888,Trevor Borland,BUF,TE,1,WAG,1,9,0,9,9,0,0,0,0,0,0,0.9
152,50046681,Isaac Rex,BYU,TE,1,ARZ,2,9,0,7,4.5,0,0,0,0,0,0,0.9
152,50056425,Taylor Thompson,CHARLT,TE,1,DUKE,2,9,0,5,4.5,0,0,0,0,0,0,0.9
152,50029237,Michael Bollinger,LIBRTY,TE,1,CAMP,1,9,0,9,9,0,0,0,0,0,0,0.9
156,50055384,Tristian Brank,AKRON,TE,1,AUBRN,1,8,0,8,8,0,0,0,0,0,0,0.8
156,50046167,Davis Allen,CLMSN,TE,1,GA,2,8,0,8,4,0,0,0,0,0,0,0.8
156,50046462,Bryson Cannon,EMICH,TE,1,STFPA,2,8,0,4,4,0,0,0,0,0,0,0.8
156,50043881,Nate Adkins,ETNST,TE,1,VAND,2,8,0,6,4,0,0,0,0,0,0,0.8
156,50065183,Tre Watson,FREST,TE,1,ORE,1,8,0,8,8,0,0,0,0,0,0,0.8
156,50039224,Derryk Snell,MONST,TE,1,WYOM,2,8,0,7,4,0,0,0,0,0,0,0.8
156,50038365,Robert French,RICE,TE,1,ARK,1,8,0,8,8,0,0,0,0,0,0,0.8
156,50038647,AJ Lewis,TROY,TE,1,SOUTH,1,8,0,8,8,0,0,0,0,0,0,0.8
156,50036400,Jaret Pallotta,UMASS,TE,1,PITT,1,8,0,8,8,0,0,0,0,0,0,0.8
165,50039108,Julian Hill,CAMP,TE,1,LIBRTY,1,7,0,7,7,0,0,0,0,0,0,0.7
165,50038399,Joel Wilson,CMICH,TE,1,MISSR,1,7,0,7,7,0,0,0,0,0,0,0.7
165,50028243,Brady Russell,COL,TE,1,NCOL,1,7,0,7,7,0,0,0,0,0,0,0.7
165,50057816,Leeshoen Jarrett,JAXST,TE,1,UAB,2,7,0,5,3.5,0,0,0,0,0,0,0.7
165,50039538,Justin Marcus,MONM,TE,1,MTNST,2,7,0,5,3.5,0,0,0,0,0,0,0.7
165,50055373,Jake Roberts,NTX,TE,1,NWST,1,7,0,7,7,0,0,0,0,0,0,0.7
165,50008409,Ryan Luehrman,OHIO,TE,1,SYRA,1,7,0,7,7,0,0,0,0,0,0,0.7
165,50042605,Spencer Webb,ORE,TE,1,FREST,3,7,0,5,2.3,0,0,0,0,0,0,0.7
165,50063695,Terrance Ferguson,ORE,TE,1,FREST,1,7,0,7,7,0,0,0,0,0,0,0.7
165,50048545,Luke Musgrave,OREGST,TE,1,PUR,2,7,0,6,3.5,0,0,0,0,0,0,0.7
165,50043643,Garren O'Keefe,UCDV,TE,1,TULSA,2,7,0,4,3.5,0,0,0,0,0,0,0.7
176,50042803,Miller Gibbs,APPLST,TE,1,ECAR,1,6,0,6,6,0,0,0,0,0,0,0.6
176,50042591,Tyneil Hopper,BOISE,TE,1,UCF,1,6,0,6,6,0,0,0,0,0,0,0.6
176,50038820,Pearse Migl,LOULAF,TE,1,TX,1,6,0,6,6,0,0,0,0,0,0,0.6
176,50001465,Garrett Walston,NCAR,TE,1,VTECH,1,6,0,6,6,0,0,0,0,0,0,0.6
