Rank,PlayerID,Name,Team,Position,Week,Opponent,Receptions,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPoints
271,50052070,Jermaine Johnson Jr.,UMASS,WR,1,PITT,3,52,0,27,17.3,0,0,0,0,0,0,5.2
271,50029949,Bryce Nunnelly,WMICH,WR,1,MICH,7,52,0,21,7.4,0,0,0,0,0,0,5.2
276,50045512,Jsi Hatfield,ECAR,WR,1,APPLST,3,51,0,29,17,0,0,0,0,0,0,5.1
276,50007785,John Mitchell,FLATL,WR,1,FL,4,51,0,25,12.8,0,0,0,0,0,0,5.1
276,50056394,Shadeed Ahmed,MARSH,WR,1,NAVY,2,51,0,47,25.5,0,0,0,0,0,0,5.1
276,50036364,Devin Carter,NCST,WR,1,SFL,1,51,0,51,51,0,0,0,0,0,0,5.1
276,50048305,Ryan Davis,UAB,WR,1,JAXST,3,51,0,30,17,0,0,0,0,0,0,5.1
281,50048427,Trevor Wilson,KAN,WR,1,SDAK,5,50,0,17,10,0,0,0,0,0,0,5
281,50054931,Errol Rogers Jr.,LOULAF,WR,1,TX,5,50,0,21,10,0,0,0,0,0,0,5
283,50031350,Judd Cockett,SUTAH,WR,1,SJST,1,6,0,6,6,0,0,0,0,0,0,4.92
284,50007830,Aaron Cephus,HAWAII,WR,1,UCLA,1,49,0,49,49,0,0,0,0,0,0,4.9
284,50032363,Champ Flemings,OREGST,WR,1,PUR,2,49,0,45,24.5,0,0,0,0,0,0,4.9
286,50042286,Malik Knowles,KANST,WR,1,STAN,2,13,0,10,6.5,2,35,17.5,0,0,0,4.8
286,50053880,Brandan Lisenby,STFPA,WR,1,EMICH,2,24,0,14,12,2,24,12,0,0,0,4.8
286,50036053,Jose Barbon,TEMPL,WR,1,RUTGER,2,48,0,29,24,0,0,0,0,0,0,4.8
286,50031303,Ty MacPherson,WEBST,WR,1,UTAH,5,48,0,19,9.6,0,0,0,0,0,0,4.8
286,50046350,Sean Ryan,WVIR,WR,1,MARY,3,48,0,34,16,0,0,0,0,0,0,4.8
291,50060204,Jalen Coker,HOLY,WR,1,UCONN,3,47,0,33,15.7,0,0,0,0,0,0,4.7
291,50045685,Trey Palmer,LSU,WR,1,UCLA,7,47,0,20,6.7,0,0,0,0,1,0,4.7
291,50054916,Keke Chism,MISSR,WR,1,CMICH,4,47,0,26,11.8,0,0,0,0,0,0,4.7
291,50045446,Jadon Haselwood,OKL,WR,1,TULANE,4,47,0,24,11.8,0,0,0,0,0,0,4.7
